id	userId	status	deliveryDatetime	paymentDatetime	discountValue	subTotal	total	note	createdAt	updatedAt
1	1	2	2026-06-27T14:20:53.242992	2026-06-27T07:20:53.000	1000	25000	24000		2026-06-27T14:27:12.039502	2026-06-27T14:27:12.039546
2	1	1	2026-06-27T14:20:53.244066	2026-06-27 07:20:53	2000	10000	8000		2026-06-27 07:20:53	2026-06-27 07:20:53
3	2	2	2026-06-27T14:20:53.244078	2026-06-27 07:20:53	3000	30000	28000		2026-06-27 07:20:53	2026-06-27 07:20:53
4	2	2	2026-06-27T14:27:56.323955		0	10000	10000		2026-06-27T14:28:10.214322	2026-06-27T14:28:10.214344
5	3	2	2026-06-28T06:32:16.826464		0	30000	30000		2026-06-29T06:15:29.960160	2026-06-29T06:15:29.960191
6	4	1	2026-06-28T06:33:06.562153		0	22000	22000		2026-06-28T06:33:24.951833	2026-06-28T06:33:24.951857
7	5	2	2026-06-28T06:57:05.453619		0	46000	46000		2026-06-28T07:07:05.683593	2026-06-28T07:07:05.683612
8	6	2	2026-06-28T06:58:20.682663		0	30000	30000		2026-06-29T06:15:02.385867	2026-06-29T06:15:02.385911
9	7	1	2026-06-28T06:59:10.246352		0	22000	22000		2026-06-28T07:06:56.949978	2026-06-28T07:06:56.950002
10	8	2	2026-06-28T07:01:01.236551		0	30000	30000		2026-06-29T09:20:53.582818	2026-06-29T09:20:53.582848
11	9	2	2026-06-28T07:03:02.586375		0	22000	22000		2026-06-28T07:03:39.059914	2026-06-28T07:03:39.059935
12	11	2	2026-06-28T07:55:32.507239		0	22000	22000		2026-06-28T07:55:48.671265	2026-06-28T07:55:48.671290
13	12	2	2026-06-28T07:56:21.559774		0	25000	25000		2026-06-29T06:15:43.532230	2026-06-29T06:15:43.532260
14	13	1	2026-06-28T07:57:15.743669		0	37000	37000		2026-06-28T07:57:33.161920	2026-06-28T07:57:33.161939
15	15	1	2026-06-28T00:00:00.000		0	30000	30000		2026-06-29T19:54:04.550520	2026-06-29T19:54:04.550541
16	16	1	2026-06-28T00:00:00.000		0	30000	30000		2026-06-29T19:53:33.891779	2026-06-29T19:53:33.891808
17	17	2	2026-06-28T00:00:00.000	2026-06-28T00:00:00.000	0	22000	22000		2026-06-29T08:04:20.411485	2026-06-29T08:04:20.411508
18	18	2	2026-06-29T01:35:42.524804		0	75000	75000		2026-06-29T01:36:01.224429	2026-06-29T01:36:01.224448
20	20	2	2026-06-29T01:39:24.349458		0	70000	70000		2026-06-29T01:39:59.759931	2026-06-29T01:39:59.759954
21	21	2	2026-06-28T00:00:00.000	2026-06-28T00:00:00.000	0	44000	44000		2026-06-29T08:04:03.948109	2026-06-29T08:04:03.948152
22	1	1	2026-06-29T06:06:19.319403		0	34000	34000		2026-06-29T06:06:43.761352	2026-06-29T06:06:43.761374
23	22	2	2026-06-29T06:13:07.067382		0	34000	34000		2026-06-29T21:00:44.143709	2026-06-29T21:00:44.143733
24	6	2	2026-06-29T06:13:47.478404		0	15000	15000		2026-06-29T06:14:11.208486	2026-06-29T06:14:11.208506
25	23	2	2026-06-29T06:28:30.060909		0	76000	76000		2026-06-29T09:03:17.095812	2026-06-29T09:03:17.095838
26	5	2	2026-06-29T07:19:29.192788		0	48000	48000		2026-06-29T07:30:35.604679	2026-06-29T07:30:35.604705
27	24	2	2026-06-29T07:31:22.506069		0	19000	19000		2026-06-29T19:49:40.594111	2026-06-29T19:49:40.594135
28	25	1	2026-06-29T07:31:58.902125		0	66000	66000		2026-06-29T07:51:55.996033	2026-06-29T07:51:55.996052
29	26	1	2026-06-29T07:41:15.457241		0	75000	75000		2026-06-29T07:41:27.051289	2026-06-29T07:41:27.051311
